2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26171, Remote Address: 64.233.170.95:443, State: ESTABLISHED, Process ID: 24124, Process Name: chrome, Process Start Time: 2024-11-22 13:18:45
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26178, Remote Address: 172.64.155.209:443, State: ESTABLISHED, Process ID: 24124, Process Name: chrome, Process Start Time: 2024-11-22 13:18:45
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26180, Remote Address: 172.217.194.95:443, State: ESTABLISHED, Process ID: 24124, Process Name: chrome, Process Start Time: 2024-11-22 13:18:45
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26185, Remote Address: 172.64.155.209:443, State: ESTABLISHED, Process ID: 24124, Process Name: chrome, Process Start Time: 2024-11-22 13:18:45
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26198, Remote Address: 185.199.108.154:443, State: ESTABLISHED, Process ID: 24124, Process Name: chrome, Process Start Time: 2024-11-22 13:18:45
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26206, Remote Address: 74.125.24.95:443, State: ESTABLISHED, Process ID: 24124, Process Name: chrome, Process Start Time: 2024-11-22 13:18:45
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26222, Remote Address: 23.220.203.59:443, State: ESTABLISHED, Process ID: 24596, Process Name: msedgewebview2, Process Start Time: 2024-11-22 13:17:00
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26223, Remote Address: 52.98.65.2:443, State: TIME_WAIT, Process ID: 0, Process Name: Idle, Process Start Time: N/A
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26230, Remote Address: 172.217.194.94:443, State: ESTABLISHED, Process ID: 24124, Process Name: chrome, Process Start Time: 2024-11-22 13:18:45
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26238, Remote Address: 204.79.197.222:443, State: ESTABLISHED, Process ID: 24596, Process Name: msedgewebview2, Process Start Time: 2024-11-22 13:17:00
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26247, Remote Address: 20.190.144.136:443, State: TIME_WAIT, Process ID: 0, Process Name: Idle, Process Start Time: N/A
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26250, Remote Address: 13.35.238.3:443, State: ESTABLISHED, Process ID: 24124, Process Name: chrome, Process Start Time: 2024-11-22 13:18:45
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26251, Remote Address: 20.212.88.117:443, State: ESTABLISHED, Process ID: 3564, Process Name: msedge, Process Start Time: 2024-11-22 19:56:02
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26254, Remote Address: 13.107.3.128:443, State: ESTABLISHED, Process ID: 11344, Process Name: msedgewebview2, Process Start Time: 2024-11-22 13:17:45
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26255, Remote Address: 117.18.232.200:443, State: ESTABLISHED, Process ID: 35848, Process Name: Code, Process Start Time: 2024-11-22 13:22:41
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26256, Remote Address: 20.189.173.2:443, State: TIME_WAIT, Process ID: 0, Process Name: Idle, Process Start Time: N/A
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26259, Remote Address: 172.202.64.254:443, State: ESTABLISHED, Process ID: 24596, Process Name: msedgewebview2, Process Start Time: 2024-11-22 13:17:00
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26264, Remote Address: 64.233.170.84:443, State: ESTABLISHED, Process ID: 24124, Process Name: chrome, Process Start Time: 2024-11-22 13:18:45
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26266, Remote Address: 20.135.2.0:443, State: TIME_WAIT, Process ID: 0, Process Name: Idle, Process Start Time: N/A
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26267, Remote Address: 20.60.132.36:443, State: TIME_WAIT, Process ID: 0, Process Name: Idle, Process Start Time: N/A
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26270, Remote Address: 52.168.117.168:443, State: ESTABLISHED, Process ID: 2544, Process Name: Microsoft.SharePoint, Process Start Time: 2024-11-22 18:56:53
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26271, Remote Address: 204.79.197.239:443, State: ESTABLISHED, Process ID: 3564, Process Name: msedge, Process Start Time: 2024-11-22 19:56:02
